"category","language","question","answer"
"Balance","English","How do I check my Jazz balance?","Dial *111# from your Jazz number or open the Jazz World app and tap Balance on the home screen."
"Balance","Roman Urdu","Balance kaise check karun?","Apne Jazz number se *111# dial karein ya Jazz World app khol kar home screen par Balance par tap karein."
"Balance","English","Why is my balance showing zero?","Your balance may be zero if you recently used all credit, have an active package that consumed balance, or if there is a temporary network delay. Wait a few minutes and check again."
"Balance","Roman Urdu","Mera balance zero kyun aa raha hai?","Agar aap ne credit use kar liya ho, package active ho, ya network delay ho to balance zero dikh sakta hai. Kuch minute baad dobara check karein."
"Packages","English","How do I subscribe to a Jazz package?","Open the Jazz World app, go to Packages, choose your preferred bundle, and tap Subscribe. You can also dial the package code from the Jazz website."
"Packages","Roman Urdu","Jazz package kaise subscribe karun?","Jazz World app kholen, Packages par jayen, apna bundle select karein, aur Subscribe par tap karein. Website se package code bhi dial kar sakte hain."
"Packages","English","How do I unsubscribe from a package?","To unsubscribe, dial the package unsubscribe code or go to Jazz World app, open My Subscriptions, and tap Unsubscribe on the active package."
"Packages","Roman Urdu","Package unsubscribe kaise karun?","Unsubscribe code dial karein ya Jazz World app mein My Subscriptions khol kar active package par Unsubscribe tap karein."
"Recharge","English","How can I recharge my Jazz number?","You can recharge via JazzCash, easypaisa, bank apps, scratch cards, or retail shops. Open JazzCash, select Mobile Load, enter your number and amount."
"Recharge","Roman Urdu","Jazz number recharge kaise karun?","JazzCash, easypaisa, bank apps, scratch card ya shop se recharge kar sakte hain. JazzCash khol kar Mobile Load select karein aur number amount enter karein."
"Recharge","English","My recharge failed but money was deducted.","If recharge failed, wait 15 minutes for auto-reversal. If not reversed, open Jazz World app, go to Help, and submit a recharge complaint with transaction ID."
"Recharge","Roman Urdu","Recharge fail ho gaya lekin paise kat gaye.","15 minute wait karein auto-reversal ke liye. Agar reversal na ho to Jazz World app se Help mein ja kar transaction ID ke sath complaint submit karein."
"JazzCash","English","How do I create a JazzCash account?","Download the JazzCash app, register with your CNIC and mobile number, verify OTP, and set your MPIN. Visit a Jazz retailer for biometric verification if required."
"JazzCash","Roman Urdu","JazzCash account kaise banayein?","JazzCash app download karein, CNIC aur mobile number se register karein, OTP verify karein, aur MPIN set karein. Zarurat par retailer se biometric verification karwayen."
"JazzCash","English","I forgot my JazzCash MPIN.","Open JazzCash app, tap Forgot MPIN, verify with OTP and CNIC details, then set a new MPIN. Do not share your MPIN with anyone."
"JazzCash","Roman Urdu","JazzCash MPIN bhool gaya hoon.","JazzCash app khol kar Forgot MPIN par tap karein, OTP aur CNIC se verify karein, phir naya MPIN set karein. MPIN kisi ke sath share na karein."
"JazzCash","English","How do I send money via JazzCash?","Open JazzCash, tap Send Money, enter recipient mobile number or IBAN, amount, and MPIN to confirm. Both sender and receiver must have verified accounts."
"JazzCash","Roman Urdu","JazzCash se paise kaise bhejein?","JazzCash khol kar Send Money par tap karein, number ya IBAN aur amount enter karein, MPIN se confirm karein. Dono accounts verified hone chahiye."
"SIM","English","How do I activate a new Jazz SIM?","Insert the SIM, dial 123 or follow the SMS instructions, complete biometric verification at a Jazz franchise, and your SIM will activate within a few hours."
"SIM","Roman Urdu","Naya Jazz SIM kaise activate karun?","SIM lagayen, 123 dial karein ya SMS instructions follow karein, franchise par biometric verification karein, SIM kuch ghanton mein activate ho jayega."
"SIM","English","How do I block a lost SIM?","Immediately call Jazz helpline 111 or visit a Jazz service center with your CNIC to block the SIM and request a duplicate if needed."
"SIM","Roman Urdu","Khoya hua SIM block kaise karun?","Fori Jazz helpline 111 par call karein ya CNIC le kar service center jayen SIM block aur duplicate ke liye."
"Internet","English","My mobile internet is not working.","Check if data is enabled, airplane mode is off, and you have an active data package. Restart your phone and try another APN setting if the issue continues."
"Internet","Roman Urdu","Mobile internet kaam nahi kar raha.","Data on hai, airplane mode off hai, aur package active hai ye check karein. Phone restart karein, masla rahe to APN settings check karein."
"Internet","English","How do I check remaining internet MBs?","Dial *443# or open Jazz World app and go to Usage to see remaining data, minutes, and SMS from your active package."
"Internet","Roman Urdu","Baqi internet MBs kaise dekhein?","*443# dial karein ya Jazz World app mein Usage khol kar baqi data, minutes aur SMS dekhein."
"Complaints","English","How do I register a complaint with Jazz?","Open Jazz World app, go to Help and Support, select Complaint, choose the issue type, and submit details. You will receive a ticket number."
"Complaints","Roman Urdu","Jazz mein complaint kaise register karun?","Jazz World app khol kar Help and Support mein Complaint select karein, issue type choose karein, details submit karein. Aap ko ticket number milega."
"Complaints","English","How long does Jazz take to resolve complaints?","Most complaints are resolved within 24 to 72 hours depending on the issue type. Track status in Jazz World app using your ticket number."
"Complaints","Roman Urdu","Jazz complaint kitne time mein solve hoti hai?","Ziyada tar complaints 24 se 72 ghanton mein resolve hoti hain. Jazz World app mein ticket number se status track karein."
"App Login","English","I cannot log in to Jazz World app.","Ensure you are using the registered Jazz number, update the app to the latest version, clear cache, and verify OTP. Contact support if login still fails."
"App Login","Roman Urdu","Jazz World app mein login nahi ho raha.","Registered Jazz number use karein, app update karein, cache clear karein, aur OTP verify karein. Phir bhi masla ho to support se rabta karein."
"App Login","English","How do I reset Jazz World app password?","On the login screen tap Forgot Password, enter your mobile number, verify OTP, and set a new password. Use a strong password you do not share."
"App Login","Roman Urdu","Jazz World app password reset kaise karun?","Login screen par Forgot Password tap karein, number enter karein, OTP verify karein, naya password set karein."
"Billing","English","How do I get my Jazz postpaid bill?","Postpaid customers can view and download bills from Jazz World app under Billing, or receive bills via email and SMS each billing cycle."
"Billing","Roman Urdu","Jazz postpaid bill kaise hasil karun?","Jazz World app mein Billing se bill dekhen ya download karein. Har billing cycle par email aur SMS par bill bhi milta hai."
"Billing","English","How do I pay my postpaid bill?","Pay via JazzCash, bank apps, ATM, or Jazz franchise. Open JazzCash, select Bill Payment, choose Jazz Postpaid, enter account number and amount."
"Billing","Roman Urdu","Postpaid bill kaise pay karun?","JazzCash, bank app, ATM ya franchise se pay karein. JazzCash mein Bill Payment select kar ke account number aur amount enter karein."
"Offers","English","How do I find current Jazz offers?","Open Jazz World app and go to Offers, or dial *551# to see active promotions, discounts, and limited-time bundles for your number."
"Offers","Roman Urdu","Current Jazz offers kahan milenge?","Jazz World app mein Offers kholen ya *551# dial karein taake promotions aur bundles dekh saken."
"Offers","English","Why am I not eligible for a Jazz offer?","Some offers are targeted by usage, region, or customer type. Ensure your SIM is active, bills are paid, and check eligibility details in the offer terms."
"Offers","Roman Urdu","Mujhe Jazz offer eligible kyun nahi?","Kuch offers usage, region ya customer type par depend karte hain. SIM active ho, bills paid hon, aur offer terms mein eligibility check karein."